Location,City,Coord,POSTCODE,OVERALL RANK,AVERAGE RANK,Monopoly Price,Avg. Price of Property,PRICE OF PROPERTY RANK,Average Price of Parking (DAILY),PRICE OF DAILY PARKING,School District Quality (1 being the worst and 4 being the best),SCHOOL QUALITY RANK,GPs (in 2 mile radius),NUMBER OF GPS RANK
Bannerley Road,Birmingham,"52.481776598111516, -1.896000166436441",B33,74,79.5,£140,"£200,037",68,£13.01,102,3.16,58,28,90
New Street,Birmingham,"52.481776598111516, -1.896000166436441",B2,102,89.25,£260,"£165,500",34,£14.07,106,2.66,151,34,66
Cannon Street,Birmingham,"52.481776598111516, -1.896000166436441",B2,104,89.75,£180,"£165,500",33,£15.42,114,2.73,147,34,65
Union Street,Birmingham,"52.481776598111516, -1.896000166436441",B2,108,90.5,£200,"£165,500",35,£15.80,118,2.75,145,34,64
The NEC,Birmingham,"52.481776598111516, -1.896000166436441",B40,112,92,£180,"£285,389",104,£10.51,89,3.33,18,0,157
Villa Park,Birmingham,"52.481776598111516, -1.896000166436441",B6,120,94.5,£60,"£146,778",15,£16.96,128,3.00,118,20,117
Waterloo Street,Birmingham,"52.481776598111516, -1.896000166436441",B2,124,96.5,£320,"£165,500",36,£16.63,124,2.46,159,34,67
Victoria Square,Birmingham,"52.481776598111516, -1.896000166436441",B1,129,98.75,£100,"£201,329",70,£11.45,97,2.61,154,32,74
Coventry Road,Birmingham,"52.481776598111516, -1.896000166436441",B26,132,100,£240,"£226,892",80,£10.81,93,2.86,127,26,100
Centenary Square,Birmingham,"52.481776598111516, -1.896000166436441",B1,137,105.25,£100,"£201,329",69,£17.44,130,2.71,149,32,73
Atherstone,Birmingham,"52.481776598111516, -1.896000166436441",CV9,140,106,£220,"£278,376",100,£7.14,63,3.00,105,3,156
Bull Ring,Birmingham,"52.481776598111516, -1.896000166436441",B5,143,107.25,£60,"£245,304",86,£18.38,135,2.92,120,29,88
Dominion Court,Birmingham,"52.481776598111516, -1.896000166436441",B91,145,107.75,£120,"£478,628",130,£5.13,6,2.61,153,10,142
Halesowen,Birmingham,"52.481776598111516, -1.896000166436441",B63,146,109.25,£160,"£214,282",72,£13.36,104,3.00,115,8,146
Hurst Street,Birmingham,"52.481776598111516, -1.896000166436441",B5,147,110.25,£400,"£245,304",87,£15.38,113,2.93,119,15,122
Bicknell,Birmingham,"52.481776598111516, -1.896000166436441",B14,151,113.75,£350,"£251,114",89,£15.48,115,2.55,157,27,94
Edgbaston,Birmingham,"52.481776598111516, -1.896000166436441",B5,152,114.5,£140,"£245,304",88,£13.30,103,2.75,143,14,124
Printing House Street,Birmingham,"52.481776598111516, -1.896000166436441",B4,155,119.25,£300,"£272,600",99,£15.48,116,2.75,144,17,118
Newhall Street,Birmingham,"52.481776598111516, -1.896000166436441",B3,156,120.25,£300,"£261,799",93,£16.46,121,2.73,148,17,119
Broad Street,Birmingham,"52.481776598111516, -1.896000166436441",B15,158,124.5,£260,"£395,075",124,£16.41,120,2.75,146,26,108
Hagley Road,Birmingham,"52.481776598111516, -1.896000166436441",B15,159,131.25,£280,"£395,075",125,£14.60,107,2.66,152,10,141
Millenium Square,Leeds,"53.80009440577255, -1.5453478860766927",LS2,1,37.5,£160,"£185,129",45,£6.57,53,3.33,16,42,36
Queen Street,Leeds,"53.80009440577255, -1.5453478860766927",LS1,16,49.25,£60,"£291,176",107,£7.04,61,3.42,5,44,24
Royal Armouries Museum,Leeds,"53.80009440577255, -1.5453478860766927",LS10,20,52,£120,"£176,659",40,£6.55,51,3.20,49,33,68
Clarence Dock,Leeds,"53.80009440577255, -1.5453478860766927",LS10,21,53.25,£320,"£176,659",39,£6.60,55,3.20,50,33,69
Woodhouse Lane,Leeds,"53.80009440577255, -1.5453478860766927",LS2,30,60.5,£140,"£185,129",47,£6.55,52,3.00,104,42,39
Leeds Town Hall,Leeds,"53.80009440577255, -1.5453478860766927",LS1,38,64.25,£100,"£291,176",105,£6.53,49,3.10,78,44,25
Playhouse Square,Leeds,"53.80009440577255, -1.5453478860766927",LS2,49,69.75,£140,"£185,129",46,£8.77,81,3.00,112,42,40
Leeds United,Leeds,"53.80009440577255, -1.5453478860766927",LS1,50,70,£220,"£291,176",106,£6.50,46,3.00,102,44,26
The Grand Theatre,Leeds,"53.80009440577255, -1.5453478860766927",LS1,55,71.25,£350,"£291,176",109,£6.61,56,3.07,82,42,38
Westgate,Leeds,"53.80009440577255, -1.5453478860766927",LS1,57,72,£260,"£291,176",108,£6.54,50,3.00,103,44,27
Stonegate Road,Leeds,"53.80009440577255, -1.5453478860766927",LS6,78,80.75,£300,"£281,884",102,£6.90,60,3.25,36,13,125
Yorkshire CCC,Leeds,"53.80009440577255, -1.5453478860766927",LS6,79,80.75,£200,"£281,884",103,£6.53,48,3.22,45,13,127
Canal Road,Leeds,"53.80009440577255, -1.5453478860766927",LS12,93,84.5,£280,"£183,152",42,£6.46,45,3.00,101,7,150
Chelwood Drive,Leeds,"53.80009440577255, -1.5453478860766927",LS8,96,86.25,£300,"£318,416",112,£7.61,76,3.37,10,7,147
Weetwood Hall,Leeds,"53.80009440577255, -1.5453478860766927",LS16,100,88.25,£400,"£387,183",122,£6.79,59,3.28,29,8,143
Cockshott Lane,Leeds,"53.80009440577255, -1.5453478860766927",LS12,105,89.75,£100,"£183,152",43,£6.44,44,2.90,121,7,151
Roundhay Park,Leeds,"53.80009440577255, -1.5453478860766927",LS8,111,91.25,£60,"£318,416",113,£7.19,67,3.25,37,7,148
Criteron Place,Leeds,"53.80009440577255, -1.5453478860766927",LS1,125,96.5,£180,"£291,176",110,£6.51,47,3.08,80,7,149
Weetwood Lane Headingley,Leeds,"53.80009440577255, -1.5453478860766927",LS16,128,98.25,£260,"£387,183",123,£6.72,58,3.14,68,8,144
Leeds Rhinos,Leeds,"53.80009440577255, -1.5453478860766927",LS6,144,107.5,£240,"£281,884",101,£6.65,57,2.75,142,13,130
Harewood House,Leeds,"53.80009440577255, -1.5453478860766927",LS17,154,118.5,£180,"£410,011",126,£7.94,79,3.00,110,0,159
Georgian Quarter,Liverpool ,"53.41086925482969, -3.0044894642026616",L8,76,80.25,£220,"£147,761",16,£14.73,110,3.12,72,14,123
Anfield,Liverpool ,"53.41086925482969, -3.0044894642026616",L4,80,80.75,£140,"£101,969",1,£16.69,125,3.15,62,11,135
Everton,Liverpool ,"53.41086925482969, -3.0044894642026616",L4,85,82.5,£140,"£101,969",2,£14.73,109,3.07,83,11,136
University of Liverpool,Liverpool ,"53.41086925482969, -3.0044894642026616",L3,92,84.25,£300,"£192,938",65,£16.56,123,3.36,12,10,137
Museum of Liverpoool,Liverpool ,"53.41086925482969, -3.0044894642026616",L3,99,87.75,£100,"£192,938",63,£18.74,136,3.33,19,11,133
Liverpool Metropolitan Cathedral,Liverpool ,"53.41086925482969, -3.0044894642026616",L3,109,90.5,£60,"£192,938",62,£16.56,122,3.23,44,11,134
The Three Graces,Liverpool ,"53.41086925482969, -3.0044894642026616",L3,114,92.5,£400,"£192,938",64,£19.24,137,3.28,31,10,138
Penny Lane,Liverpool ,"53.41086925482969, -3.0044894642026616",L18,127,97.5,£260,"£362,146",117,£13.96,105,3.25,42,13,126
Liverpool Hope University,Liverpool ,"53.41086925482969, -3.0044894642026616",L16,136,102.75,£300,"£311,265",111,£15.70,117,3.18,55,13,128
St George's Hall,Liverpool ,"53.41086925482969, -3.0044894642026616",L1,148,110.5,£350,"£334,632",116,£14.81,111,3.14,70,8,145
World Museum,Liverpool ,"53.41086925482969, -3.0044894642026616",L3,149,112.25,£120,"£192,938",66,£16.88,127,3.00,117,10,139
Aintree,Liverpool ,"53.41086925482969, -3.0044894642026616",L9,150,113.25,£160,"£156,767",29,£15.37,112,2.50,158,6,154
Sefton Park,Liverpool ,"53.41086925482969, -3.0044894642026616",L17,157,120.5,£260,"£268,419",97,£16.77,126,2.78,138,16,121
Northumberland Avenue,London,"51.50459787794346, -0.12770184972062312",SW1,41,66.25,£160,"£2,112,067",148,£10.43,86,3.30,24,51,7
Euston Road,London,"51.50459787794346, -0.12770184972062312",NW1,65,75,£100,"£1,435,516",141,£21.01,149,3.38,8,51,2
Mayfair,London,"51.50459787794346, -0.12770184972062312",W1,66,75.5,£400,"£2,197,173",154,£19.74,141,3.42,6,51,1
Old Kent Road,London,"51.50459787794346, -0.12770184972062312",SE1,72,78.5,£60,"£704,000",136,£16.27,119,3.28,30,43,29
Bond Street,London,"51.50459787794346, -0.12770184972062312",W1,83,82.25,£320,"£2,197,173",151,£21.35,152,3.31,21,51,5
Bow Street,London,"51.50459787794346, -0.12770184972062312",WC2,84,82.25,£180,"£1,935,904",144,£23.95,157,3.31,22,51,6
Whitechapel Road,London,"51.50459787794346, -0.12770184972062312",E1,86,82.75,£60,"£572,257",134,£18.10,134,3.21,48,50,15
"Great Marlborough Street
(listed as Marlborough Street)",London,"51.50459787794346, -0.12770184972062312",W1,88,84,£180,"£2,197,173",153,£28.77,159,3.33,20,51,4
Regent Street,London,"51.50459787794346, -0.12770184972062312",W1,95,85.75,£300,"£2,197,173",157,£25.67,158,3.37,11,46,17
Fleet Street,London,"51.50459787794346, -0.12770184972062312",EC4,97,86.5,£220,"£818,379",137,£19.72,140,3.20,53,49,16
Whitehall,London,"51.50459787794346, -0.12770184972062312",SW1,106,90,£140,"£2,112,067",150,£20.63,147,3.19,54,51,9
Strand,London,"51.50459787794346, -0.12770184972062312",WC2,107,90.25,£220,"£1,935,904",146,£20.02,145,3.16,59,51,11
Vine Street,London,"51.50459787794346, -0.12770184972062312",W1,110,90.75,£200,"£2,197,173",158,£17.19,129,3.17,57,46,19
Pall Mall,London,"51.50459787794346, -0.12770184972062312",SW1,115,92.75,£140,"£2,112,067",149,£22.55,156,3.18,56,51,10
Leicester Square,London,"51.50459787794346, -0.12770184972062312",WC2,116,93.25,£260,"£1,935,904",145,£21.84,154,3.16,61,51,13
Coventry Street,London,"51.50459787794346, -0.12770184972062312",W1,118,93.75,£260,"£2,197,173",152,£21.30,151,3.16,60,51,12
Pentonville Road,London,"51.50459787794346, -0.12770184972062312",N1,121,95,£120,"£924,940",138,£19.77,142,3.34,14,29,86
Trafalgar Square,London,"51.50459787794346, -0.12770184972062312",WC2,122,95.5,£240,"£1,935,904",147,£19.64,138,3.11,76,46,21
Piccadilly,London,"51.50459787794346, -0.12770184972062312",W1,131,99.75,£280,"£2,197,173",156,£21.11,150,3.12,73,46,20
"The Angel, Islington",London,"51.50459787794346, -0.12770184972062312",N1,133,100.25,£100,"£924,940",139,£19.83,143,3.28,32,29,87
Park Lane,London,"51.50459787794346, -0.12770184972062312",W1,135,102.75,£350,"£2,197,173",155,£21.52,153,3.08,81,46,22
Oxford Street,London,"51.50459787794346, -0.12770184972062312",W1,138,105.25,£300,"£2,197,173",159,£20.89,148,3.46,4,23,110
City of Manchester Stadium,Manchester,"53.48039032279029, -2.2385716212452946",M11,27,58.5,£200,"£172,213",38,£17.52,131,3.21,47,46,18
Oxford Road,Manchester,"53.48039032279029, -2.2385716212452946",M13,29,60,£260,"£271,083",98,£10.70,92,3.29,27,45,23
Bridge Street,Manchester,"53.48039032279029, -2.2385716212452946",M3,31,60.75,£400,"£225,346.00",75,£10.20,85,3.20,51,43,32
Hunts Bank,Manchester,"53.48039032279029, -2.2385716212452946",M3,32,61.25,£100,"£225,346.00",76,£11.90,98,3.25,40,43,31
Withy Grove,Manchester,"53.48039032279029, -2.2385716212452946",M4,34,62.5,£140,"£265,102",94,£10.49,88,3.25,38,43,30
Old Trafford Cricket Ground,Manchester,"53.48039032279029, -2.2385716212452946",M16,42,67,£180,"£238,933",83,£17.60,132,3.30,25,43,28
Old Trafford,Manchester,"53.48039032279029, -2.2385716212452946",M17,43,67.5,£180,"£187,500",48,£17.95,133,3.20,52,42,37
Arndale Centre,Manchester,"53.48039032279029, -2.2385716212452946",M4,54,71,£240,"£265,102",95,£12.30,99,3.25,41,37,49
Coronation Street,Manchester,"53.48039032279029, -2.2385716212452946",M5,56,71.5,£100,"£179,250",41,£9.56,82,2.88,122,42,41
Albert Square,Manchester,"53.48039032279029, -2.2385716212452946",M2,59,72.5,£350,"£323,500",114,£11.26,94,3.25,39,41,43
Market Street,Manchester,"53.48039032279029, -2.2385716212452946",M1,70,76.5,£260,"£259,907",91,£12.34,100,3.14,69,39,46
Lumns Lane,Manchester,"53.48039032279029, -2.2385716212452946",M27,73,79,£300,"£232,294",81,£7.97,80,3.00,111,41,44
Strangeways Brewery,Manchester,"53.48039032279029, -2.2385716212452946",M3,82,81.75,£60,"£225,346.00",79,£9.97,83,2.85,132,43,33
The Trafford Centre,Manchester,"53.48039032279029, -2.2385716212452946",M17,87,83,£220,"£187,500",49,£10.65,91,2.66,150,42,42
Quay Street,Manchester,"53.48039032279029, -2.2385716212452946",M3,89,84,£120,"£225,346.00",78,£10.49,87,2.80,137,43,34
